,country,state,lpopd,egood,ebad,mining,plantations,enone,yppp,lyppp,lpoverty,lgini,lhealth,lyear,llit,lschoolspk,lseats,native,black,temp_avg,temp2,rainfall,rain2,alti,alti2,landlocked
99,Colombia,Guainía,0.2623642,0,0,0.0,0.0,1,2604.6103515625,7.8650384,,,,,,-5.6276274,-9.312897,34.21846,0.3516578,26.266666,689.93774,3.0915000228881837,9.557372,0.082,0.0067240004,1.0
100,Colombia,Guaviare,-0.7174399,0,0,0.0,0.0,1,5064.63916015625,8.530038,,,,,,-4.951499,-10.465614,4.9412184,0.33455622,25.65,657.9225,2.5047000007629396,6.273522,0.301,0.090601,1.0
101,Colombia,Huila,1.46424,1,0,0.0,0.0,0,5180.96240234375,8.552746,3.2884018,-0.67334455,,,-0.08555791,-4.8614697,-12.121632,0.22112375,0.011199156,27.790909,772.3346,1.340099988937378,1.795868,0.506,0.25603598,1.0
102,Colombia,La Guajira,1.023031,1,0,0.0,0.0,0,6716.099609375,8.812263,3.1612468,-0.7339692,,,-0.11991027,-5.187546,-12.041284,23.646616,0.25569928,28.245455,797.8057,0.5460000022053718,0.298116,0.005,2.5e-05,0.0
103,Colombia,Magdalena,1.097722,1,0,0.0,0.0,0,3286.1220703125,8.097464,2.9123507,-0.7133499,,,-0.11204951,-4.8862476,-12.021979,0.6225151,0.055316802,28.091667,789.1418,0.4993000016212463,0.2493005,0.009,8.099999e-05,0.0
104,Colombia,Meta,0.6348557,1,0,0.0,0.0,0,7451.189453125,8.916129,2.862201,-0.7133499,,,-0.088831194,-5.0588913,-12.103364,1.1941028,0.0716006,25.25,637.5625,4.358700019836426,18.998266,0.5,0.25,1.0
105,Colombia,Norte de Santander,2.567638,1,0,0.0,0.0,0,3656.013916015625,8.204128,3.0056827,-0.7133499,,,-0.10425,-5.0531306,-12.270389,0.22716635,0.020541178,27.136364,736.38226,0.863300006866455,0.7452869,0.313,0.097968996,1.0
106,Colombia,Quindío,2.218287,1,0,0.0,0.0,0,4654.28515625,8.445543,2.442347,-0.6539265,,,-0.08992474,-6.4487495,-11.778939,0.1573444,0.033992905,22.00909,484.40005,2.1190999908447266,4.490585,1.32,1.7424002,1.0
107,Colombia,Risaralda,2.218287,1,0,0.0,0.0,0,4620.09228515625,8.43817,3.1441524,-0.7133499,,,-0.070422485,-5.2614646,-12.13612,1.091135,0.2607369,21.25,451.5625,2.258200004577637,5.0994673,1.444,2.085136,1.0
108,Colombia,"San Andrés, Providencia y Santa Catalina",2.559311,1,0,0.0,0.0,0,10771.6748046875,9.284676,,,,,,-5.6910343,,15.868451,0.95356137,27.42,751.8564,1.899799991607666,3.60924,0.0,0.0,0.0
109,Colombia,"Santafé de Bogotá, D. C.",2.361433,1,0,0.0,0.0,0,8879.7666015625,9.091531,2.7013612,-0.5798185,,,-0.024292681,-5.98191,-12.670323,0.17558587,0.032337986,13.3125,177.22266,0.7937000026702881,0.6299597,2.433,5.9194894,1.0
110,Colombia,Santander,2.195768,0,1,0.0,1.0,0,7908.20703125,8.9756565,3.1398327,-0.5798185,,,-0.1086994,-4.997872,-12.3152,0.08164035,0.005657144,21.190908,449.0546,1.1569999923706056,1.338649,1.009,1.0180808,1.0
111,Colombia,Sucre,1.023031,1,0,0.0,0.0,0,2807.329345703125,7.939989,3.2809112,-0.63487834,,,-0.16841862,-5.099516,-12.123751,1.8443341,0.07522035,27.175,738.4806,1.116099988937378,1.2456791,0.218,0.047523998,0.0
112,Colombia,Tolima,1.46424,0,1,0.0,1.0,0,5598.2275390625,8.630205,3.4339871,-0.67334455,,,-0.113168694,-5.110693,-12.128287,1.1411899,0.04185712,24.157143,583.56757,1.6792000045776367,2.8197126,1.081,1.168561,1.0
113,Colombia,Valle del Cauca,2.218287,0,1,1.0,0.0,0,7394.36572265625,8.908474,2.76001,-0.6539265,,,-0.046043955,-5.328756,-12.400595,0.38717735,0.08498359,23.718182,562.5521,0.9085,0.8253723,0.757,0.57304907,0.0
114,Colombia,Vaupés,-0.7174399,1,0,0.0,0.0,0,4811.291015625,8.478721,,,,,,-4.566998,-9.2445965,63.34569,0.28306025,25.99091,675.5274,3.3556000366210936,11.260052,0.183,0.033489,1.0
115,Colombia,Vichada,0.2623642,1,0,0.0,0.0,0,2643.075439453125,7.8796983,,,,,,-4.7672305,-9.281684,29.621456,0.07691279,28.045454,786.5475,2.184599967956543,4.772477,0.545,0.29702502,1.0
